state_name,county_nm,year,Total Population,WT number of public wastewater facilities,WT returns by public wastewater facilities,HP instream use,HP total number of facilities,HP total power generated,HP total offstream surface-water withdrawals,Ir Total reclaimed wastewater,Ir Total conveyance loss,Ir Total total irrigation,Ir Total total consumptive use,Ir Total total s-s withdrawals,A total s-s withdrawals,L consumptive use,L total s-s withdrawals,M reclaimed wastewater,M total consumptive use,M total s-s withdrawals,TP total number of facilities,TP total reclaimed wastewater,TP total power generated,TP total consumptive use,TP total s-s withdrawls,TP total s-s withdrawls plus deliveries,NTP number of facilities,NTP power generation,NTP total consumptive use,NTP total s-s withdrawals,NTP total s-s withdrawals plus deliveries,GTP number of facilities,GTP power generation,GTP total consumptive use,GTP total s-s withdrawals,GTP total s-s withdrawals plus deliveries,FTP number of facilities,FTP reclaimed wastewater,FTP power generation,FTP total consumptive use,FTP total s-s withdrawals,FTP total s-s withdrawals plus deliveries,TTP number of facilities,TTP reclaimed wastewater,TTP power generated,TTP total s-s withdrawals plus deliveries,TTP total consumptive use,TTP total s-s withdrawals,I number of facilities,I reclaimed wastewater,I total consumptive use,I total s-s withdrawals,I total s-s withdrawals plus deliveries,C reclaimed wastewater,C total consumptive use,C total s-s withdrawals,C total s-s withdrawals plus deliveries,D s-s population,D per capita use s-s,D per capita use public-supplied,D total consumptive use,D total s-s withdrawals total,D total s-s withdrawals plus deliveries,PS number of facilities,PS reclaimed wastewater,PS per capita use,PS public use and losses,PS total deliveries,PS total s-s withdrawals total
California,Alameda,1985,1195.160,7.000,142.320,0.000,0.000,0.000,0.000,0.330,0.280,12.300,16.110,23.440,0.000,0.670,0.730,0.000,0.300,1.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.720,0.000,0.000,0.000,0.000,0.000,7.720,0.000,0.000,0.000,0.000,0.000,2.530,3.880,10.120,0.000,11.670,1.190,46.060,42.050,75.000,103.000,31.760,3.150,122.160,0.000,0.000,0.000,0.000,170.120,195.100
California,Alameda,1990,1279.180,8.000,134.590,0.000,0.000,0.000,0.000,2.030,0.000,6.510,9.810,13.560,0.000,0.850,0.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1579.000,0.000,2.550,0.000,22.790,0.000,1.320,0.000,29.180,27.370,75.000,113.000,37.440,2.050,143.440,13.000,0.000,0.000,0.000,193.360,221.370
California,Alameda,1995,1347.700,8.000,154.150,0.000,0.000,0.000,0.000,0.640,0.100,5.500,12.230,13.160,0.000,0.850,0.850,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1564.000,0.000,8.290,6.750,28.570,1.810,8.090,0.180,31.280,19.050,75.000,107.000,37.300,1.430,143.450,8.000,2.980,161.000,19.620,194.940,214.560
California,Alameda,2000,1443.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,19.950,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.960,2.960,0.000,0.000,0.000,0.000,176.860,75.000,0.000,0.000,13.270,13.270,0.000,0.000,0.000,0.000,0.000,220.400
California,Alameda,2005,1448.905,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.250,0.000,6.600,0.000,0.000,0.000,0.000,0.000,4.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.050,0.000,0.000,0.000,0.000,15.411,227.000,51.000,0.000,3.500,76.840,0.000,0.000,109.000,0.000,73.340,156.610
California,Alameda,2010,1510.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,0.000,18.270,12.650,0.000,0.000,0.000,0.000,2.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.500,0.000,0.900,0.900,0.000,0.000,0.000,0.000,61.571,75.000,86.000,0.000,4.620,129.020,0.000,0.000,149.000,0.000,124.400,215.500
California,Alameda,2015,1638.215,0.000,0.000,0.000,0.000,0.000,0.000,0.880,0.000,12.660,7.970,9.510,0.000,0.000,0.000,0.000,0.000,4.300,1.000,1.960,2898.900,1.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.960,2898.900,0.000,1.400,0.000,8.000,7.500,0.000,0.900,0.900,0.000,0.000,0.000,0.000,8.315,59.000,60.000,0.000,0.490,98.860,0.000,0.000,104.000,0.000,98.370,168.740
California,Alpine,1985,1.200,4.000,4.270,0.000,0.000,0.000,0.000,4.180,0.390,6.000,12.850,25.710,0.000,0.110,0.120,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.040,0.220,91.000,102.000,0.030,0.020,0.120,0.000,0.000,0.000,0.000,0.140,0.160
California,Alpine,1990,1.110,3.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,6.300,13.470,26.940,0.000,0.120,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.510,78.000,167.000,0.040,0.040,0.140,5.000,0.000,0.000,0.000,0.120,0.150
California,Alpine,1995,1.170,3.000,0.150,0.000,0.000,0.000,0.000,1.290,0.000,6.300,23.520,23.530,0.000,0.010,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.270,74.000,111.000,0.040,0.020,0.120,2.000,0.000,122.000,0.000,0.110,0.110
